Material,Descripción de Mater,Descripción Larga,Ubicación,Stock Total,UMB,Stock Almacén,Centro,Almacén,Valor Total,Valoración,Precio Variable,Stock Especial,Categoria,Stock de seguridad,Valor Stock
1000000009,"TORNILLO, 1/4"" X 1-1/2"", 20 UNC, HEX., G","TORNILLO, 1/4"" OD x 1-1/2"" LG, 20 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA",1 08 05 A2,738,EA,244,EE60,1000,871.36,AVG-COST,1.83,,HERRAMIENTAS Y FERRETERIA,69,446.52
1000000010,"TORNILLO, 1/4"" X 1-1/2"", 20 UNC, HEX., G","TORNILLO, 1/4"" OD x 1-1/2"" LG, 20 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA",2 08 05 A2,738,EA,0,EE60,1007,871.36,AVG-COST,1.11,K,HERRAMIENTAS Y FERRETERIA,69,0
1000000020,"TORNILLO, 1/4"" X 1-1/2"", 20 UNC, HEX., G","TORNILLO, 1/4"" OD x 1-1/2"" LG, 20 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA",2 08 05 A2,738,EA,494,EE60,1007,871.36,AVG-COST,0.86,K,HERRAMIENTAS Y FERRETERIA,69,424.84
1000000025,"TORNILLO, 5/16"" X 1-1/2"", 18 UNC,","ZDEL TORNILLO, 5/16"""" OD X 1-1/2"""" LG, 18 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA""",1 08 05 D1,820,EA,500,EE60,1000,"1,643.80",AVG-COST,2.43,,HERRAMIENTAS Y FERRETERIA,18,"1,215.00"
1000000027,"TORNILLO, 5/16"" X 1-1/2"", 18 UNC,","ZDEL TORNILLO, 5/16"""" OD X 1-1/2"""" LG, 18 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA""",2 08 05 D1,820,EA,0,EE60,1007,"1,643.80",AVG-COST,1.74,K,HERRAMIENTAS Y FERRETERIA,18,0
1000000028,"TORNILLO, 5/16"" X 1-1/2"", 18 UNC,","ZDEL TORNILLO, 5/16"""" OD X 1-1/2"""" LG, 18 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 2, ACERO ASTM A307, SAE J429, CON TUERCA""",2 08 05 D1,820,EA,320,EE60,1007,"1,643.80",AVG-COST,1.34,K,HERRAMIENTAS Y FERRETERIA,18,428.8
1000000033,"TORNILLO, 1/2"" X 5"", 13 UNC, HEX., GR 1","TORNILLO, 1/2"" OD x 5"" LG, 13 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 1, ACERO ASTM A307, CON TUERCA",2 08 07 E1,620,EA,0,EE60,1007,"5,598.60",AVG-COST,11.73,K,HERRAMIENTAS Y FERRETERIA,37,0
1000000035,"TORNILLO, 1/2"" X 5"", 13 UNC, HEX., GR 1","TORNILLO, 1/2"" OD x 5"" LG, 13 UNC, CABEZA HEXAGONAL, TIPO MAQUINA, GR 1, ACERO ASTM A307, CON TUERCA",2 08 07 E1,620,EA,620,EE60,1007,"5,598.60",AVG-COST,9.03,K,HERRAMIENTAS Y FERRETERIA,37,"5,598.60"
1000000036,"ARAN., PLANA, 5/16"", GALV., 1/16""","ARANDELA DE APRIETE, PLANA, 5/16"", ACERO GALVANIZADO, 1/16""",11901H01,39.05,KG,0,EE60,1000,"2,703.53",AVG-COST,77.05,K,REPUESTOS MECANICOS,5,0
1000000037,"ARAN., PLANA, 5/16"", GALV., 1/16""","ARANDELA DE APRIETE, PLANA, 5/16"", ACERO GALVANIZADO, 1/16""",11901H01,39.05,KG,1.5,EE60,1000,"2,703.53",AVG-COST,78.82,K,REPUESTOS MECANICOS,5,118.23
